stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone,platform_code,vehicle_type
NSR:Quay:820,,Lunde stasjon,,59.29899,9.100679,,,0,NSR:StopPlace:501,2,,,100
NSR:Quay:821,,Lunde stasjon,,59.299023,9.100928,,,0,NSR:StopPlace:501,2,,1,100
NSR:Quay:9104,,Kløfta stasjon,,60.075016,11.138804,,,0,NSR:StopPlace:5001,2,,2,700
NSR:Quay:8257,,Vestby stasjon,,59.604366,10.750093,,,0,NSR:StopPlace:4569,2,,,700
NSR:Quay:9105,,Kløfta stasjon,,60.07483,11.138804,,,0,NSR:StopPlace:5001,2,,4,700
NSR:Quay:8258,,Vestby stasjon,,59.604023,10.749382,,,0,NSR:StopPlace:4569,2,,,700
NSR:Quay:9106,,Kløfta stasjon,,60.074924,11.138806,,,0,NSR:StopPlace:5001,2,,3,700
NSR:Quay:8259,,Vestby stasjon,,59.60425,10.749846,,,0,NSR:StopPlace:4569,2,,,700
NSR:Quay:9107,,Kløfta stasjon,,60.074646,11.138793,,,0,NSR:StopPlace:5001,2,,6,700
NSR:Quay:827,,Larvik stasjon,,59.050182,10.03085,,,0,NSR:StopPlace:506,2,,1,100
NSR:Quay:828,,Bodø stasjon,,67.28646,14.392011,,,0,NSR:StopPlace:507,2,,1,100
NSR:Quay:829,,Larvik stasjon,,59.050053,10.030767,,,0,NSR:StopPlace:506,2,,3,100
NSR:Quay:9102,,Kløfta stasjon,,60.075096,11.138809,,,0,NSR:StopPlace:5001,2,,1,700
NSR:Quay:9103,,Kløfta stasjon,,60.07475,11.138796,,,0,NSR:StopPlace:5001,2,,5,700
NSR:Quay:72677,,Marienborg stasjon,,63.418056,10.382563,,,0,NSR:StopPlace:42437,2,,,700
NSR:Quay:72678,,Marienborg stasjon,,63.417816,10.382431,,,0,NSR:StopPlace:42437,2,,,700
NSR:Quay:100200,,Kristinehamn Resecentrum,,59.316364,14.107816,,,0,NSR:StopPlace:58188,2,,D,700
NSR:Quay:100202,,Kristinehamn Resecentrum,,59.316235,14.108049,,,0,NSR:StopPlace:58188,2,,F,700
NSR:Quay:100201,,Kristinehamn Resecentrum,,59.3163,14.107945,,,0,NSR:StopPlace:58188,2,,E,700
NSR:Quay:840,,Larvik,,59.050453,10.030295,,,0,NSR:StopPlace:509,2,,,700
NSR:Quay:831,,Bodø stasjon,,67.28652,14.391941,,,0,NSR:StopPlace:507,2,,2,100
NSR:Quay:833,,Bodø stasjon,,67.286934,14.394032,,,0,NSR:StopPlace:507,2,,,100
NSR:Quay:100209,,Trondheim lufthavn,,63.45411,10.915585,,,0,NSR:StopPlace:44286,2,,A1,700
NSR:Quay:834,,Bodø stasjon,,67.28698,14.393959,,,0,NSR:StopPlace:507,2,,,100
NSR:Quay:835,,Ål stasjon,,60.62625,8.562145,,,0,NSR:StopPlace:508,2,,1,100
NSR:Quay:100204,,Hallsberg resecentrum,,59.06641,15.110157,,,0,NSR:StopPlace:188,2,,B,700
